,avgPrice,numListings
2014-03-23,0.0,1.0
2014-03-24,0.0,1.0
2014-03-25,0.0,1.0
2014-03-26,0.0,1.0
2014-03-27,0.0,1.0
2014-03-28,0.0,1.0
2014-03-29,0.0,1.0
2014-03-30,0.0,1.0
2014-03-31,0.0,1.0
2014-04-01,0.0,1.0
2014-04-02,0.0,1.0
2014-04-03,0.0,1.0
2014-04-04,0.0,1.0
2014-04-05,0.0,1.0
2014-04-06,0.0,1.0
2014-04-07,0.0,1.0
2014-04-08,0.0,1.0
2014-04-09,0.0,1.0
2014-04-10,0.0,1.0
2014-04-11,0.0,1.0
2014-04-12,0.0,1.0
2014-04-13,0.0,1.0
2014-04-14,0.0,1.0
2014-04-15,0.0,1.0
2014-04-16,0.0,1.0
2014-04-17,53825.4444444,1.33333333333
2014-04-18,107650.888889,1.66666666667
2014-04-19,161476.333333,2.0
2014-04-20,215301.777778,2.33333333333
2014-04-21,269127.222222,2.66666666667
2014-04-22,322952.666667,3.0
2014-04-23,315027.081613,2.94594594595
2014-04-24,307101.496559,2.89189189189
2014-04-25,299175.911505,2.83783783784
2014-04-26,291250.326451,2.78378378378
2014-04-27,283324.741397,2.72972972973
2014-04-28,275399.156344,2.67567567568
2014-04-29,267473.57129,2.62162162162
2014-04-30,259547.986236,2.56756756757
2014-05-01,251622.401182,2.51351351351
2014-05-02,243696.816128,2.45945945946
2014-05-03,235771.231074,2.40540540541
2014-05-04,227845.64602,2.35135135135
2014-05-05,219920.060967,2.2972972973
2014-05-06,211994.475913,2.24324324324
2014-05-07,204068.890859,2.18918918919
2014-05-08,196143.305805,2.13513513514
2014-05-09,188217.720751,2.08108108108
2014-05-10,180292.135697,2.02702702703
2014-05-11,172366.550643,1.97297297297
2014-05-12,164440.96559,1.91891891892
2014-05-13,156515.380536,1.86486486486
2014-05-14,148589.795482,1.81081081081
2014-05-15,140664.210428,1.75675675676
2014-05-16,132738.625374,1.7027027027
2014-05-17,124813.04032,1.64864864865
2014-05-18,116887.455266,1.59459459459
2014-05-19,108961.870213,1.54054054054
2014-05-20,101036.285159,1.48648648649
2014-05-21,93110.7001048,1.43243243243
2014-05-22,85185.115051,1.37837837838
2014-05-23,77259.5299971,1.32432432432
2014-05-24,69333.9449433,1.27027027027
2014-05-25,61408.3598894,1.21621621622
2014-05-26,53482.7748356,1.16216216216
2014-05-27,45557.1897817,1.10810810811
2014-05-28,37631.6047279,1.05405405405
2014-05-29,29706.019674,1.0
2014-05-30,2022.0216,1.0
2014-05-31,18342.444681,2.0
2014-06-01,13767.242304,2.0
2014-06-02,9192.039927,2.0
2014-06-03,4616.83755,2.0
2014-06-04,31005.668056,2.125
2014-06-05,57394.4985621,2.25
2014-06-06,83783.3290681,2.375
2014-06-07,110172.159574,2.5
2014-06-08,136560.99008,2.625
2014-06-09,162949.820586,2.75
2014-06-10,189338.651092,2.875
2014-06-11,215727.481598,3.0
2014-06-12,206994.023423,3.25
2014-06-13,198260.565248,3.5
2014-06-14,189527.107073,3.75
2014-06-15,180793.648898,4.0
2014-06-16,172060.190723,4.25
2014-06-17,163326.732548,4.5
2014-06-18,154593.274373,4.75
2014-06-19,145859.816198,5.0
2014-06-20,110699.512455,4.5
2014-06-21,75539.2087109,4.0
2014-06-22,40378.9049671,3.5
2014-06-23,5218.60122333,3.0
2014-06-24,153958.294591,4.0
2014-06-25,148387.530362,3.875
2014-06-26,142816.766133,3.75
2014-06-27,137246.001904,3.625
2014-06-28,131675.237676,3.5
2014-06-29,126104.473447,3.375
2014-06-30,120533.709218,3.25
2014-07-01,114962.944989,3.125
2014-07-02,109392.18076,3.0
2014-07-03,103821.416532,2.875
2014-07-04,98250.6523029,2.75
2014-07-05,92679.8880742,2.625
2014-07-06,87109.1238454,2.5
2014-07-07,81538.3596166,2.375
2014-07-08,75967.5953878,2.25
2014-07-09,70396.831159,2.125
2014-07-10,64826.0669303,2.0
2014-07-11,59255.3027015,1.875
2014-07-12,53684.5384727,1.75
2014-07-13,48113.7742439,1.625
2014-07-14,42543.0100151,1.5
2014-07-15,36972.2457863,1.375
2014-07-16,31401.4815576,1.25
2014-07-17,25830.7173288,1.125
2014-07-18,20259.9531,1.0
2014-07-19,14889.7750443,2.0
2014-07-20,9519.5969885,3.0
2014-07-21,4149.41893275,4.0
2014-07-22,38763.6275772,4.4
2014-07-23,73377.8362216,4.8
2014-07-24,107992.044866,5.2
2014-07-25,142606.253511,5.6
2014-07-26,177220.462155,6.0
2014-07-27,89592.5154855,3.5
2014-07-28,1964.568816,1.0
2014-07-29,19432.4939835,4.0
2014-07-30,20373.2142439,4.0
2014-07-31,21313.9345043,4.0
2014-08-01,22254.6547647,4.0
2014-08-02,23195.3750251,4.0
2014-08-03,24136.0952855,4.0
2014-08-04,24849.4398903,4.08333333333
2014-08-05,25562.7844951,4.16666666667
2014-08-06,26276.1290999,4.25
2014-08-07,26989.4737047,4.33333333333
2014-08-08,27702.8183095,4.41666666667
2014-08-09,28416.1629143,4.5
2014-08-10,29129.5075192,4.58333333333
2014-08-11,29842.852124,4.66666666667
2014-08-12,30556.1967288,4.75
2014-08-13,31269.5413336,4.83333333333
2014-08-14,31982.8859384,4.91666666667
2014-08-15,32696.2305432,5.0
2014-08-16,28967.7420924,5.28571428571
2014-08-17,25239.2536417,5.57142857143
2014-08-18,21510.7651909,5.85714285714
2014-08-19,17782.2767401,6.14285714286
2014-08-20,14053.7882894,6.42857142857
2014-08-21,10325.2998386,6.71428571429
2014-08-22,6596.81138786,7.0
2014-08-23,7352.04080229,6.6
2014-08-24,8107.27021671,6.2
2014-08-25,8862.49963114,5.8
2014-08-26,9617.72904557,5.4
2014-08-27,10372.95846,5.0
2014-08-28,11715.677222,4.83333333333
2014-08-29,13058.3959841,4.66666666667
2014-08-30,14401.1147461,4.5
2014-08-31,15743.8335082,4.33333333333
2014-09-01,17086.5522702,4.16666666667
2014-09-02,18429.2710322,4.0
2014-09-03,22136.8849814,4.25
2014-09-04,25844.4989305,4.5
2014-09-05,29552.1128797,4.75
2014-09-06,33259.7268288,5.0
2014-09-07,36967.3407779,5.25
2014-09-08,40674.9547271,5.5
2014-09-09,44382.5686762,5.75
2014-09-10,48090.1826253,6.0
2014-09-11,46998.7538265,6.2
2014-09-12,45907.3250277,6.4
2014-09-13,44815.8962288,6.6
2014-09-14,43724.46743,6.8
2014-09-15,42633.0386311,7.0
